13821,"9.9613612, 76.2885246","39 /4603, Sreekandath Road, Ravipuram",V.G.Saraf Memorial Hospital\n,Private,Hospital,Allopathic,"39 /4603, Sreekandath Road, Ravipuram",Kerala,Ernakulam,0,682016,0,0,0,0,0,0,0,0,0484 2370595,vgsarafhospital@gmail.com,0,http://vgsarafhospital.com/,Urology\nOrthopedics\nGeneral Surgery\nGynaecology\nLaparoscopic Surgery\nPlastic Surgery\nENT\nOphthalmology\nPediatrics\nAnesthesiology\nDental and Maxillo-facial surgery\n
13935,NA,"Elanjichuvadu,Elookkara,Muppathadam, P.O Aluva",Sarathy Ayurvedic Hospital,0,0,0,"Elanjichuvadu,Elookkara,Muppathadam, P.O Aluva",Kerala,Ernakulam,0,683110,0,0,0,0,0,0,0,0,0,0,0,0,0
13936,"9.9816358, 76.2998842",Udoyogamandal,Jnm Lakshmi Hospital,0,0,0,Udoyogamandal,Kerala,Ernakulam,0,683501,0,0,0,0,0,0,0,0,245006,0,0,0,0
13937,NA,"Xii/229, Manjummel, Near I.C.C.Retreat Centre Manjummel",St Josephs Hospital Trust,0,0,0,"Xii/229, Manjummel, Near I.C.C.Retreat Centre Manjummel",Kerala,Ernakulam,0,683501,0,0,0,0,0,0,0,0,0,0,0,0,0
13938,"10.1075702, 76.345662","Karumallor,Aluva",Ayurveda Nursing Home,0,0,0,"Karumallor ,Aluva",Kerala,Ernakulam,0,683511,0,0,0,0,0,0,0,0,0,0,0,0,0
13939,"10.151915, 76.2317114",N.Paravur,Chaitanya Nursing Home,0,0,0,N.Paravur,Kerala,Ernakulam,0,683513,0,0,0,0,0,0,0,0,0,0,0,0,0
13940,"9.9816358, 76.2998842","North Paravoor,Nh.17",Don Bosco Hospital,0,0,0,"North Paravoor,Nh.17",Kerala,Ernakulam,0,683513,0,0,0,0,0,0,0,0,2447924,0,0,0,0
13941,"10.151915, 76.2317114",North Paravur,Santhi Clinic and Hospital,0,0,0,North Paravur,Kerala,Ernakulam,0,683513,0,0,0,0,0,0,0,0,0,0,0,0,0
13942,"10.1729267, 76.1796042","Munambam Palliport, Near Maliyankara Bridge",Navabharath Medical Center,0,0,0,"Munambam Palliport, Near Maliyankara Bridge",Kerala,Ernakulam,0,683515,0,0,0,0,0,0,0,0,0,0,0,0,0
13943,NA,"South Kuriyappilly, Moothakunnam P. O.",Bharath Rural Hospital and Training Centre,0,0,0,"South Kuriyappilly, Moothakunnam P. O.",Kerala,Ernakulam,0,683516,0,0,0,0,0,0,0,0,0,0,0,0,0
13944,"10.151915, 76.2317114",N.Paravur,Shajy Hospital,0,0,0,N.Paravur,Kerala,Ernakulam,0,683516,0,0,0,0,0,0,0,0,0,0,0,0,0
13945,"10.0743385, 76.2713608",Varapuzha,Ub Trust Hospital and Diagnostic Centre,0,0,0,Varapuzha,Kerala,Ernakulam,0,683517,0,0,0,0,0,0,0,0,0,0,0,0,0
13946,"10.1069106, 76.2626661",Koonammavu,Little Flower Hospital Annex,0,0,0,Koonammavu,Kerala,Ernakulam,0,683518,0,0,0,0,0,0,0,0,0,0,0,0,0
13947,"10.1175991, 76.5163489",Keezhillam P.O.Perumbavoor,Parathuvayalil Hospital,0,0,0,Keezhillam P.O.Perumbavoor,Kerala,Ernakulam,0,683541,0,0,0,0,0,0,0,0,0,0,0,0,0
13948,"12.2445108, 75.1451071","A.M.Road,Near Taluk Hospital",Lakshmi Hospital,0,0,0,"A.M.Road,Near Taluk Hospital",Kerala,Ernakulam,0,683542,0,0,0,0,0,0,0,0,2594344,0,0,0,0
13949,"10.131939, 76.4821849",Perumbavoor,Luke Memorial Eye Hospital,0,0,0,Perumbavoor,Kerala,Ernakulam,0,683542,0,0,0,0,0,0,0,0,0,0,0,0,0
13950,"10.1143869, 76.4736441",Opposite K S R T C Bus Station Perumbavoor,M.V. Joseph Memorial Hospital,0,0,0,Opposite K S R T C Bus Station Perumbavoor,Kerala,Ernakulam,0,683542,0,0,0,0,0,0,0,0,0,0,0,0,0
13951,"10.131939, 76.4821849",Perumbavoor,S. N. Mission Hospital,0,0,0,Perumbavoor,Kerala,Ernakulam,0,683542,0,0,0,0,0,0,0,0,0,0,0,0,0
13952,NA,"Am Road,PerumbavoorKunnathunadu",Sanjoe Hospital,0,0,0,"Am Road ,Perumbavoor ,Kunnathunadu",Kerala,Ernakulam,0,683542,0,0,0,0,0,0,0,0,2590712,0,0,0,0
13953,"10.1146721, 76.4726289",Perumbavoor,V.M.M Ospital,0,0,0,Perumbavoor,Kerala,Ernakulam,0,683542,0,0,0,0,0,0,0,0,0,0,0,0,0
13954,"10.131939, 76.4821849","P P Road,Perumbavoor",Vathiyayath Hospital,0,0,0,"P P Road,Perumbavoor",Kerala,Ernakulam,0,683542,0,0,0,0,0,0,0,0,0,0,0,0,0
13955,"10.082247, 76.3828446","Edathala, Aluva, Near Pukkaltupady",Ayswarya Hospital,0,0,0,"Edathala, Aluva, Near Pukkaltupady",Kerala,Ernakulam,0,683561,0,0,0,0,0,0,0,0,0,0,0,0,0
13956,"10.082247, 76.3828446","Pukkattupady, Edathala, Aluva",Thaqdees Hospital Limited,0,0,0,"Pukkattupady, Edathala, Aluva",Kerala,Ernakulam,0,683561,0,0,0,0,0,0,0,0,0,0,0,0,0
13957,"8.5241391, 76.9366376","Tc 22/935 (2.5), Pb No: 581L, Attukal, Manacaud. P.O. Thiruvananthapuram",Attikal Devi Institute Of Medical Sciences Ltd,0,0,0,"Tc 22/935 (2.5), Pb No: 581L, Attukal, Manacaud. P.O. Thiruvananthapuram",Kerala,Ernakulam,0,683562,0,0,0,0,0,0,0,0,0,0,0,0,0
13958,"10.0252873, 76.4490782",Pattimattom,General Clinic,0,0,0,Pattimattom,Kerala,Ernakulam,0,683562,0,0,0,0,0,0,0,0,0,0,0,0,0
13959,"10.0451768, 76.3953699","Pazhanganad,Kizhakkambalam",Samaritan Hospital,0,0,0,"Pazhanganad,Kizhakkambalam",Kerala,Ernakulam,0,683562,0,0,0,0,0,0,0,0,0,0,0,0,0
13960,"10.1849092, 76.3753046",Angamaly,Kg Hospital,0,0,0,Angamaly,Kerala,Ernakulam,0,683572,0,0,0,0,0,0,0,0,0,0,0,0,0
13961,"10.1849092, 76.3753046",Post Box:23 Angamaly,Little Flower Hospital And Research Centre,0,0,0,Post Box:23 Angamaly,Kerala,Ernakulam,0,683572,0,0,0,0,0,0,0,0,0,0,0,0,0
13962,"10.1849092, 76.3753046",Xxi/1534 Aluva Road Angamaly Angamaly,Madonna Medical Centre,0,0,0,Xxi/1534 Aluva Road Angamaly Angamaly,Kerala,Ernakulam,0,683572,0,0,0,0,0,0,0,0,0,0,0,0,0
13963,"10.1672856, 76.439884","Chowara Road, Kalady",P.M.M. Hsopital,0,0,0,"Chowara Road, Kalady",Kerala,Ernakulam,0,683574,0,0,0,0,0,0,0,0,0,0,0,0,0
13964,"10.1850163, 76.4723506","Malayattoor (Via),Kalady",St.Thomas Hospital,0,0,0,"Malayattoor (Via),Kalady",Kerala,Ernakulam,0,683574,0,0,0,0,0,0,0,0,2468966,0,0,0,0
13965,NA,Kanjoor Grama Panchayat,Vimala Hospital,0,0,0,Kanjoor Grama Panchayat,Kerala,Ernakulam,0,683575,0,0,0,0,0,0,0,0,0,0,0,0,0
13966,"10.2275552, 76.3789758",Church (Via) Angamaly,Alphonsa Hospital Karukutty,0,0,0,Church (Via) Angamaly,Kerala,Ernakulam,0,683576,0,0,0,0,0,0,0,0,0,0,0,0,0
13967,NA,"Mar Augutine Golden Jubily Hospital, Mookkannoor",M A G J Hospital,0,0,0,"Mar Augutine Golden Jubily Hospital, Mookkannoor",Kerala,Ernakulam,0,683577,0,0,0,0,0,0,0,0,0,0,0,0,0
13968,"10.1849092, 76.3753046","Manjapra, Angamaly",St. Philomina`S Mission Hospital,0,0,0,"Manjapra, Angamaly",Kerala,Ernakulam,0,683577,0,0,0,0,0,0,0,0,0,0,0,0,0
13969,"9.9816358, 76.2998842",Kurumassery,Dr. Pakkai Memorial Hospital,0,0,0,Kurumassery,Kerala,Ernakulam,0,683579,0,0,0,0,0,0,0,0,0,0,0,0,0
13970,"9.9816358, 76.2998842",Manjapra Po,Karuna Hospital,0,0,0,Manjapra Po,Kerala,Ernakulam,0,683581,0,0,0,0,0,0,0,0,0,0,0,0,0
13971,"10.2073598, 76.4534165",Manjapra,Medical Centre,0,0,0,Manjapra,Kerala,Ernakulam,0,683581,0,0,0,0,0,0,0,0,0,0,0,0,0
13972,"10.1089208, 76.3542228","Bank Road, Aluva",Kerala Ayurveda Hospital,0,0,0,"Bank Road, Aluva",Kerala,Ernakulam,0,683585,0,0,0,0,0,0,0,0,0,0,0,0,0
13973,"9.9816358, 76.2998842",Ernakulam Kerala,Purnagram,0,0,0,Ernakulam Kerala,Kerala,Ernakulam,0,683587,0,0,0,0,0,0,0,0,0,0,0,0,0
13974,NA,Chalakka North Kuthiyathodu P.O 15 Km West Of Kochi International Airport Athani Paravur Road Side,Sree Narayana Institute Of Medical Sciences,0,0,0,Chalakka North Kuthiyathodu P.O 15 Km West Of Kochi International Airport Athani Paravur Road Side,Kerala,Ernakulam,0,683594,0,0,0,0,0,0,0,0,0,0,0,0,0
13975,"10.0032141, 76.5502271","Velloorkunnam, Muvattupuzha",Ahalia Foundation Eye Hospital,0,0,0,"Velloorkunnam, Muvattupuzha",Kerala,Ernakulam,0,686661,0,0,0,0,0,0,0,0,0,0,0,0,0
13976,"9.9894229, 76.5789749",Muvattupuzha,Nedumchalil Trust Hospital,0,0,0,Muvattupuzha,Kerala,Ernakulam,0,686661,0,0,0,0,0,0,0,0,0,0,0,0,0
13977,"9.9797642, 76.5861174","Kizhakkekara,Near Pvt. Bus Stand","Nirmala Medical Centre,",0,0,0,"Kizhakkekara,Near Pvt. Bus Stand",Kerala,Ernakulam,0,686661,0,0,0,0,0,0,0,0,0,0,0,0,0
13978,"9.9875636, 76.5777355","Pezhakkapilly, P O, Muvattupuzha",Sabine Hospital and Research Centre,0,0,0,"Pezhakkapilly, P O , Muvattupuzha",Kerala,Ernakulam,0,686661,0,0,0,0,0,0,0,0,0,0,0,0,0
13979,"9.9894229, 76.5789749",Muvattupuzha,St.George Hospital,0,0,0,Muvattupuzha,Kerala,Ernakulam,0,686661,0,0,0,0,0,0,0,0,0,0,0,0,0
13980,"9.9816358, 76.2998842",T. B. Junction,Ushus Hospital - Muvattupuzha,0,0,0,T. B. Junction,Kerala,Ernakulam,0,686661,0,0,0,0,0,0,0,0,2835557,0,0,0,0
13981,"9.8679732, 76.5972674","Koothattukluam, Koothattukluam",Ayurvedic Eye Hospital and Rescarch Center,0,0,0,"Koothattukluam , Koothattukluam",Kerala,Ernakulam,0,686662,0,0,0,0,0,0,0,0,0,0,0,0,0
13982,"9.8627081, 76.5942178",Koothattukulam,Deva Matha Hospital,0,0,0,Koothattukulam,Kerala,Ernakulam,0,686662,0,0,0,0,0,0,0,0,0,0,0,0,0
13983,"9.8627081, 76.5942178",Koothattukulam,Naynam Ayurvedic Eye Hospital,0,0,0,Koothattukulam,Kerala,Ernakulam,0,686662,0,0,0,0,0,0,0,0,0,0,0,0,0
13984,NA,"Nelliakattu Mana Kizhakombu Po,Koothattukulam",Sree Dareeyam,0,0,0,"Nelliakattu Mana Kizhakombu Po ,Koothattukulam",Kerala,Ernakulam,0,686662,0,0,0,0,0,0,0,0,0,0,0,0,0
13985,"10.0046, 76.5708","Muvattupuzha,Kerala",Chari Hospital,0,0,0,"Muvattupuzha,Kerala",Kerala,Ernakulam,0,686669,0,0,0,0,0,0,0,0,0,0,0,0,0
13986,"9.9907272, 76.5745783",Velloorkunnan Muvattupuzha Muvattupuzha,Muvattupuzha Medical Centre,0,0,0,Velloorkunnan Muvattupuzha Muvattupuzha,Kerala,Ernakulam,0,686673,0,0,0,0,0,0,0,0,0,0,0,0,0
13987,"10.0032141, 76.5502271",Velloorkunnam Muvattupuzha,Nedumchalil Hospital,0,0,0,Velloorkunnam Muvattupuzha,Kerala,Ernakulam,0,686673,0,0,0,0,0,0,0,0,0,0,0,0,0
13988,"9.9894229, 76.5789749",Muvattupuzha,Women and Childrens Hospital,0,0,0,Muvattupuzha,Kerala,Ernakulam,0,686673,0,0,0,0,0,0,0,0,0,0,0,0,0
13989,"10.0601903, 76.6350827",Kothamangalam,Mar Baselios Medial Mission Hospital,0,0,0,Kothamangalam,Kerala,Ernakulam,0,686691,0,0,0,0,0,0,0,0,2822329,0,0,0,0
13990,"10.0560287, 76.5855308","Nellikuzhy P.O,Kothamangalam",Nangelil Hospital,0,0,0,"Nellikuzhy P.O,Kothamangalam",Kerala,Ernakulam,0,686691,0,0,0,0,0,0,0,0,0,0,0,0,0
13991,NA,Dharmagiri Central Kothamangalam,St.Joseph`S Hospital,0,0,0,Dharmagiri Central Kothamangalam,Kerala,Ernakulam,0,686691,0,0,0,0,0,0,0,0,0,0,0,0,0

